abelone;f;danish;0
acke;m;swedish;0
agneta;f;swedish;0
aksel;m;danish, norwegian;0
alfhild;f;norwegian, swedish;0
alvilda;f;danish;0
andor;m;norwegian;0
ane;f;danish;0.19
annelise;f;danish;0
annika;f;dutch, swedish, finnish;0
aslaug;f;norwegian, danish;0
barbro;f;swedish;0
bendt;m;danish;0
benedikte;f;danish, norwegian;0
bengta;f;swedish;0
bengt;m;swedish;0
bente;f;danish;0
bent;m;danish;0.06
bergliot;f;norwegian;0
bergljot;f;norwegian;0
bine;f;danish;0
bo (1);m;swedish, danish;0
britta;f;swedish;0
britt;f;swedish;0
cajsa;f;swedish;0
christa;f;german, danish, english;0.03
christer;m;swedish, danish;0
dagfinn;m;norwegian, danish;0
dagrun;f;norwegian;0
dorete;f;danish;0
eirik;m;norwegian;0
elof;m;swedish;0
elov;m;swedish;0
elsa;f;english, german, swedish;5.51
else;f;danish, norwegian, german;0.16
eluf;m;danish;0
emelie;f;swedish;0
erland;m;swedish, danish;0.03
erlend;m;norwegian, danish;0.89
flemming;m;danish;0.19
frederikke;f;danish;0
frederik;m;danish;0.03
fredrik;m;swedish;0
freja;f;swedish;0
frida;f;swedish, hungarian;0.16
frode;m;danish, norwegian;0
gerhard;m;german, swedish;0.22
gittan;f;swedish;0
gjord;m;swedish;0
gjurd;m;norwegian;0
gottfrid;m;swedish;0
greger;m;swedish;0
gregers;m;danish, norwegian;0
greta;f;swedish, german, english;0.76
grete;f;german, danish;0
grethe;f;danish, norwegian;0
gro;f;norwegian;0
gry;f;norwegian;0
gunilla;f;swedish;0
gunnhild;f;norwegian;0
gunnvor;f;norwegian;0
gustaf;m;swedish;0.10
haakon;m;norwegian;0.03
hagen;m;danish;0.06
haldor;m;danish, norwegian;0
halldor;m;danish, norwegian;0
hallvard;m;norwegian;0
halstein;m;norwegian;0
halsten;m;swedish;0
halvard;m;norwegian;0
halvar;m;swedish;0
halvdan;m;norwegian;0
halvor;m;norwegian, danish;0
hampus;m;swedish;0
hedda;f;norwegian;0.03
hege;f;norwegian, danish;0
henning;m;german, danish, norwegian;0
hillevi;f;danish;0
ib;m;danish;0.19
inga;f;swedish;0.03
inger;f;swedish;0
isak;m;swedish;0
jacobine;f;norwegian, danish, dutch;0.73
janne (1);m;swedish;0
janne (2);f;danish, norwegian;0
jannick;m;danish;0
jens;m;danish;0
jerker;m;swedish;0
jerk;m;swedish;0.25
jesper;m;danish;0
johanne;f;danish, norwegian;0
jokum;m;danish;0
jonatan;m;swedish;0
jonette;f;norwegian, english;0
jonna;f;danish, swedish;0
jorck;m;danish;0
jytte;f;danish;0
kaia;f;norwegian;0
kaj;m;danish;0
kajsa;f;swedish;0
kalle;m;swedish, finnish;0
karen;f;danish, norwegian, english;0.19
kari (1);f;norwegian;0
karin;f;swedish, finnish;0.03
karita;f;norwegian;0
karoline;f;german, danish, norwegian;0
katarina;f;german, swedish, hungarian, croatian, serbian, slovene;0
katrine;f;german, danish, dutch, polish;0
keld;m;danish;0
kerstin;f;german, swedish;0
kettil;m;swedish;0
kiersten;f;danish, english;0
kjeld;m;danish;0
kjellfrid;f;norwegian;0
kjell;m;swedish, norwegian;0
kjerstin;f;swedish, norwegian;0
kjetil;m;norwegian;0
klemens;m;german, danish, swedish, polish;0.06
knud;m;danish;0.06
knute;m;norwegian;0
kresten;m;danish;0
kristen (1);m;danish;0
krister;m;swedish;0
kristina;f;swedish, czech, russian, german;0
kristine;f;danish, norwegian;0
laurits;m;danish;0
lauritz;m;danish;0
lone;f;danish;0.13
lovisa;f;swedish;0
lovise;f;danish, norwegian;0
mads;m;danish;0
magdalone;f;danish;0
magnhild;f;norwegian;0
malene;f;danish;0
malin;f;swedish;10.99
margarethe;f;german, danish;0
margrethe;f;german, danish, norwegian;0.03
marit;f;norwegian, swedish;0
marius;m;ancient roman, german, dutch, norwegian, danish, french, english, romanian;0.92
marna;f;swedish;0
mats;m;swedish, norwegian;0.61
merete;f;danish;0
mette;f;danish;8.67
mia;f;danish, swedish;0.29
moa;f;swedish;0.06
mogens;m;danish;0.03
morten;m;danish;0
nea;f;swedish;0.06
nels;m;swedish;0
niels (1);m;danish;0
niklas;m;swedish;0
nils;m;swedish, norwegian;0.67
noak;m;swedish;0
odd;m;norwegian;0
oddmund;m;norwegian;0
olaf;m;norwegian, danish;1.08
ola;m;norwegian, swedish;0.03
olav;m;norwegian, danish;0
ole;m;danish, norwegian;0.13
olle;m;swedish;0
olof;m;swedish;0
olov;m;swedish;0
orvar;m;swedish;0
peder;m;danish, norwegian;0
pernilla;f;swedish;0
pernille;f;danish;0
petter;m;swedish, norwegian;0
poul;m;danish;0.06
preben;m;danish;0
rebecka;f;swedish;0
rebekka;f;german, danish, norwegian;0
rikke;f;danish;0
roald;m;norwegian;0
roar;m;norwegian;0
rut;f;swedish, german, italian, spanish, polish;1.56
sassa;f;swedish;0
sibylla;f;greek, german, swedish;0.51
sigfrid;m;swedish;0
sigvard;m;swedish;0.03
silje;f;norwegian, danish;0
sindre;m;norwegian;0
sjurd;m;norwegian;0
sofia;f;norwegian, swedish, italian, greek;0.54
sofie;f;german, danish, dutch;0
solveig;f;norwegian;0
solvej;f;danish;0
solvig;f;swedish;0
steen;m;danish;0
stein;m;norwegian;0.89
stellan;m;swedish;0
sten;m;swedish;0.29
svanhild;f;norwegian;0
sven;m;swedish;0.25
sverre;m;norwegian;0
teodora;f;italian, spanish, portuguese, swedish, romanian, polish;0
thorstein;m;swedish, danish;0
tilda;f;english, swedish;0
tomas;m;swedish, norwegian;0
torben;m;danish;0
tordis;f;norwegian, danish;0.10
torgeir;m;norwegian, danish;0
torger;m;norwegian, danish;0
torhild;f;norwegian;0
torkel;m;swedish;0
tormod;m;norwegian;0
torsten;m;swedish, danish;0.03
trine;f;danish;0.03
tryggve;m;swedish;0
tue;m;danish;19.94
tyge;m;danish;0
tyko;m;swedish;0
ulf;m;danish, swedish;0
ulrica;f;swedish;0
ulrike;f;german, danish;0.03
urban;m;english, danish, swedish, polish, czech;0.16
varg;m;norwegian;0
vibeke;f;danish, norwegian;0
vilfred;m;danish;0
vincent;m;english, french, dutch, danish, swedish;21.63
virginia;f;english, italian, spanish, portuguese, danish, swedish, romanian, ancient roman;3.03
vita;f;english, danish, ancient roman;1.02
viveka;f;swedish;0
yngvar;m;danish, norwegian;0
